name,group,ok,r_bar,coverage,n_r,n_dr,r_min,r_max,r_sd,r_p25,r_p75,dr_min,dr_max,dr_sd,dr_p25,dr_p75,err
roundabout_PCG_0,PCG,1,11.315717669562241,1.0,143,143,10.999935636631692,11.639296686615218,0.16662385443396965,11.197661943993014,11.416026947473892,-0.05526252848001256,0.042432116190234126,0.02458555184174869,-0.016492545992207397,0.019417926060814494,
roundabout_PCG_1,PCG,1,10.984466854654318,1.0,139,139,10.17457685875746,11.769194164558927,0.42636500357221935,10.59672533154541,11.35175190035449,-0.10745242938644672,0.12770738753977895,0.061307682258825026,-0.05040974837124246,0.06077517175522473,
roundabout_PCG_10,PCG,1,11.132714774392413,1.0,141,141,10.131634709804615,11.831033980829059,0.49871763616968035,10.765502200834465,11.537957634364107,-0.10877003697579646,0.1060367417742416,0.054582126690007754,-0.03983657702361931,0.04413355098860805,
roundabout_PCG_100,PCG,1,10.956473509743905,1.0,138,138,10.496739126609986,11.389986739427568,0.2282371708934859,10.786391074866975,11.108435688079854,-0.09270934537031472,0.05343621504208684,0.03310581618029621,-0.020197560648781643,0.024894832013858892,
roundabout_PCG_101,PCG,1,11.196745656383245,1.0,142,142,10.688756260589784,11.836604439996194,0.3249202157780528,10.901832509568273,11.447732611693606,-0.06109699339097041,0.07613875762420896,0.041379638965990555,-0.0381818639697622,0.03224918026662804,
roundabout_PCG_102,PCG,1,11.019669238367698,1.0,140,140,10.149533625189829,11.926598435943912,0.5425587605269159,10.535776496224994,11.51849769026946,-0.10286295415437685,0.09373722961856856,0.056576690837515174,-0.04625396590155706,0.043072590069483496,
roundabout_PCG_103,PCG,1,11.461775021009895,1.0,145,145,10.731582944035816,12.06135794376087,0.3676013075534827,11.169402902811516,11.8029167823348,-0.12991577649463082,0.09151090182265875,0.053123287473788104,-0.03561372727632062,0.03553716357729897,
roundabout_PCG_104,PCG,1,11.378710733524876,1.0,144,144,10.892969438508386,11.894802071155159,0.2503967485160703,11.225750854456852,11.578667587152548,-0.10102433849619175,0.05666934944822799,0.039544268973746195,-0.026916414821883006,0.03541023188217585,
roundabout_PCG_105,PCG,1,11.424531493602371,1.0,145,145,10.922236397018334,12.04333553742463,0.3071514532216281,11.174399128293974,11.676094464291895,-0.07427776243594941,0.09777860645652758,0.04370342798851006,-0.03487750411639645,0.03437310856753051,
roundabout_PCG_106,PCG,1,11.077843645918492,1.0,141,141,9.64300586785224,11.877933803985524,0.5967037398108048,10.710769587804021,11.64826643120229,-0.1519423291788815,0.14216955621448513,0.06502414552424553,-0.04834564501562788,0.045309615635243716,
roundabout_PCG_107,PCG,1,11.041974201126456,1.0,140,140,10.377003591661646,11.693690293062089,0.35323877941231363,10.792607118446373,11.29261060169457,-0.06322123223005605,0.1256977030011921,0.04805216035247154,-0.044918522784048065,0.028690569967979584,
roundabout_PCG_108,PCG,1,11.118497971116556,1.0,141,141,10.359736355781573,11.883649726141732,0.3905725879852474,10.840286966289312,11.402039674149156,-0.11575887025833964,0.08589296110712574,0.052470920767866074,-0.031654400026747354,0.04740418577368999,
roundabout_PCG_109,PCG,1,11.03180451437668,1.0,139,139,10.51138784964116,11.464158298367437,0.3068999806838471,10.747721249535939,11.311261157909922,-0.0959865702803615,0.08138592609130413,0.04011260387984789,-0.024857903923254376,0.026608148465491865,
roundabout_PCG_11,PCG,1,11.134852580044797,1.0,141,141,10.481800740246541,11.662403235845172,0.3309254672265941,10.844268012671357,11.352168950531066,-0.09646840557600811,0.07548986582866846,0.038742594799817245,-0.014378792366219528,0.01791548023609124,
roundabout_PCG_110,PCG,1,11.384400362448446,1.0,144,144,10.381464712184657,12.470942013090742,0.6026184019046108,10.953100148450345,11.854971508532806,-0.09622032059699848,0.12493533317633165,0.06610508559472993,-0.04981100036474828,0.05499689400650887,
roundabout_PCG_111,PCG,1,11.375265419766684,1.0,144,144,10.58644591136732,12.470800043754602,0.5594732144326041,10.87307303529506,11.888881962787945,-0.08951548283592992,0.11195128114742303,0.055026291162141756,-0.040263918027328316,0.04718564775617784,
roundabout_PCG_112,PCG,1,11.030256935466134,1.0,139,139,10.706723210876742,11.230901140061695,0.14565858540387056,10.89146138624941,11.15415901370679,-0.062016930796668035,0.03015816182901432,0.019287342865447765,-0.007195671014013527,0.011536991560445742,
roundabout_PCG_113,PCG,1,10.977621472901731,0.9145833333333333,131,130,9.581683262274932,12.807988791429617,0.8442312556184719,10.26122425045703,11.517879381076039,-0.4997961843989973,0.14492069225611992,0.1052578867077405,-0.06743371525628739,0.08923448673343781,
roundabout_PCG_114,PCG,1,10.968032496213471,1.0,139,139,10.21205928442386,11.476827032307138,0.34643694679231696,10.687577884845322,11.270915752182587,-0.07487887677678629,0.12082861295738745,0.040372278562469825,-0.023135730052748826,0.02422302865052295,
roundabout_PCG_115,PCG,1,11.25942741552103,1.0,143,143,10.289762751502673,12.32775408389911,0.5316769028000723,10.957179232999586,11.670310147294067,-0.08254009978535315,0.12087972063607211,0.05537346661310883,-0.05282520466549023,0.02574138883659227,
roundabout_PCG_116,PCG,1,11.314949167193719,1.0,144,144,10.118928003991464,12.432358915430223,0.6409640322872644,10.791178054278708,11.75922391657285,-0.16502284114483423,0.09821652006082715,0.07153954554704654,-0.046958079347712456,0.06269945135486399,
roundabout_PCG_117,PCG,1,11.109298705340292,1.0,140,140,10.6559539792149,11.696884412131146,0.276569263765067,10.87239872167398,11.281542533187189,-0.04636392339471307,0.06823362702857771,0.030906726706932265,-0.02411659392549348,0.016318017899767945,
roundabout_PCG_118,PCG,1,11.160794094874818,1.0,141,141,10.622500898959977,11.960732037700136,0.3613305509341102,10.84718758540408,11.405648512446303,-0.08070139540537902,0.08525520577034129,0.04107735729965925,-0.03090553276892294,0.02038652981921807,
roundabout_PCG_119,PCG,1,11.213540374870787,1.0,143,143,9.720139385402563,12.709451094452731,0.7718063106518271,10.618258035105026,11.833017130578028,-0.13344362841387536,0.1783211344250173,0.08088040836253714,-0.05103274071775932,0.0681578385391095,
roundabout_PCG_12,PCG,1,11.25063108520922,1.0,142,142,10.73414505474215,11.830028623154064,0.3042504272538635,11.022538367161976,11.49944720333183,-0.08654331930392622,0.053356371068961295,0.040637928613540666,-0.03095020297175033,0.036921797798814104,
roundabout_PCG_120,PCG,1,11.111931961416978,1.0,140,140,10.290023501999812,11.810591013127764,0.41117917483597277,10.787133416255838,11.430419835221432,-0.07635653500832973,0.09520663901381354,0.043546650555660586,-0.03402602824433876,0.03698635037195741,
