image,scen_type,concrete,timestep,cm,selected,dmttcp,err
Image_0_LK_CIR_MER_RAB_FOT_1_591.png,LK_CIR_MER_RAB_FOT,1,591,0,0,3.0667067031445128,
Image_0_LK_CIR_MER_RAB_FOT_1_91.png,LK_CIR_MER_RAB_FOT,1,91,0,0,2.698385886466011,
Image_53_LK_CIR_MER_RAB_FOT_2_341.png,LK_CIR_MER_RAB_FOT,2,341,53,0,nan,
Image_53_LK_CIR_MER_RAB_FOT_2_391.png,LK_CIR_MER_RAB_FOT,2,391,53,0,nan,
Image_53_LK_CIR_MER_RAB_FOT_2_396.png,LK_CIR_MER_RAB_FOT,2,396,53,0,nan,
Image_53_LK_CIR_MER_RAB_FOT_2_421.png,LK_CIR_MER_RAB_FOT,2,421,53,0,nan,
Image_53_LK_CIR_MER_RAB_FOT_2_431.png,LK_CIR_MER_RAB_FOT,2,431,53,0,nan,
Image_0_LK_CIR_MER_RAB_FOT_3_91.png,LK_CIR_MER_RAB_FOT,3,91,0,0,2.9390846029970223,
Image_0_LK_CIR_MER_RAB_FOT_6_1046.png,LK_CIR_MER_RAB_FOT,6,1046,0,0,0.2296344521644169,
Image_0_LK_CIR_MER_RAB_FOT_6_1146.png,LK_CIR_MER_RAB_FOT,6,1146,0,0,4.188914270629366,
Image_0_LK_CIR_MER_RAB_FOT_6_1346.png,LK_CIR_MER_RAB_FOT,6,1346,0,0,nan,
Image_0_LK_CIR_MER_RAB_FOT_7_1296.png,LK_CIR_MER_RAB_FOT,7,1296,0,0,0.5966426204442188,
Image_0_LK_CIR_MER_RAB_FOT_7_1596.png,LK_CIR_MER_RAB_FOT,7,1596,0,0,nan,
Image_0_LK_CIR_MER_RAB_FOT_7_396.png,LK_CIR_MER_RAB_FOT,7,396,0,1,0.007516666927479321,
Image_23_LK_CIR_MER_RAB_FOT_8_171.png,LK_CIR_MER_RAB_FOT,8,171,23,0,nan,
Image_23_LK_CIR_MER_RAB_FOT_8_176.png,LK_CIR_MER_RAB_FOT,8,176,23,0,nan,
Image_23_LK_CIR_MER_RAB_FOT_8_231.png,LK_CIR_MER_RAB_FOT,8,231,23,0,nan,
Image_23_LK_CIR_MER_RAB_FOT_8_271.png,LK_CIR_MER_RAB_FOT,8,271,23,0,nan,
Image_0_LK_CIR_MER_RAB_FOT_9_191.png,LK_CIR_MER_RAB_FOT,9,191,0,0,2.648769101223779,
Image_0_LK_CIR_MER_RAB_FOT_10_191.png,LK_CIR_MER_RAB_FOT,10,191,0,0,1.3062924580775443,
Image_0_LK_CIR_MER_RAB_FOT_10_391.png,LK_CIR_MER_RAB_FOT,10,391,0,0,1.4004536123990918,
Image_0_LK_CIR_MER_RAB_FOT_11_1091.png,LK_CIR_MER_RAB_FOT,11,1091,0,0,nan,
Image_0_LK_CIR_MER_RAB_FOT_11_191.png,LK_CIR_MER_RAB_FOT,11,191,0,0,1.282688770396652,
Image_0_LK_CIR_MER_RAB_FOT_14_291.png,LK_CIR_MER_RAB_FOT,14,291,0,0,3.3952701875040603,
Image_53_LK_CIR_MER_RAB_FOT_15_246.png,LK_CIR_MER_RAB_FOT,15,246,53,0,nan,
Image_53_LK_CIR_MER_RAB_FOT_15_251.png,LK_CIR_MER_RAB_FOT,15,251,53,0,nan,
Image_53_LK_CIR_MER_RAB_FOT_15_266.png,LK_CIR_MER_RAB_FOT,15,266,53,0,nan,
Image_53_LK_CIR_MER_RAB_FOT_15_326.png,LK_CIR_MER_RAB_FOT,15,326,53,0,nan,
Image_53_LK_CIR_MER_RAB_FOT_15_341.png,LK_CIR_MER_RAB_FOT,15,341,53,0,nan,
Image_0_LK_CIR_MER_RAB_FOT_18_91.png,LK_CIR_MER_RAB_FOT,18,91,0,0,4.272070085408578,
Image_0_LK_CIR_MER_RAB_FOT_19_191.png,LK_CIR_MER_RAB_FOT,19,191,0,0,1.0213830918375812,
Image_0_LK_CIR_MER_RAB_FOT_19_291.png,LK_CIR_MER_RAB_FOT,19,291,0,0,0.8645007421961148,
Image_0_LK_CIR_MER_RAB_FOT_19_491.png,LK_CIR_MER_RAB_FOT,19,491,0,0,0.5637098815562439,
Image_0_LK_CIR_MER_RAB_FOT_21_306.png,LK_CIR_MER_RAB_FOT,21,306,0,0,1.7466505235370362,
Image_0_LK_CIR_MER_RAB_FOT_22_611.png,LK_CIR_MER_RAB_FOT,22,611,0,0,1.2914220352122885,
Image_43_LK_CIR_MER_RAB_FOT_23_101.png,LK_CIR_MER_RAB_FOT,23,101,43,0,nan,
Image_43_LK_CIR_MER_RAB_FOT_23_116.png,LK_CIR_MER_RAB_FOT,23,116,43,0,nan,
Image_43_LK_CIR_MER_RAB_FOT_23_121.png,LK_CIR_MER_RAB_FOT,23,121,43,0,nan,
Image_43_LK_CIR_MER_RAB_FOT_23_126.png,LK_CIR_MER_RAB_FOT,23,126,43,0,nan,
Image_43_LK_CIR_MER_RAB_FOT_23_151.png,LK_CIR_MER_RAB_FOT,23,151,43,0,nan,
Image_43_LK_CIR_MER_RAB_FOT_23_161.png,LK_CIR_MER_RAB_FOT,23,161,43,0,nan,
Image_43_LK_CIR_MER_RAB_FOT_23_176.png,LK_CIR_MER_RAB_FOT,23,176,43,0,nan,
Image_43_LK_CIR_MER_RAB_FOT_23_186.png,LK_CIR_MER_RAB_FOT,23,186,43,0,nan,
Image_43_LK_CIR_MER_RAB_FOT_23_241.png,LK_CIR_MER_RAB_FOT,23,241,43,0,nan,
Image_0_LK_CIR_MER_RAB_FOT_24_191.png,LK_CIR_MER_RAB_FOT,24,191,0,0,6.2126994589221205,
Image_11_LK_CIR_MER_RAB_FOT_25_1011.png,LK_CIR_MER_RAB_FOT,25,1011,11,0,nan,
Image_11_LK_CIR_MER_RAB_FOT_25_1031.png,LK_CIR_MER_RAB_FOT,25,1031,11,0,nan,
Image_11_LK_CIR_MER_RAB_FOT_25_1046.png,LK_CIR_MER_RAB_FOT,25,1046,11,0,nan,
Image_11_LK_CIR_MER_RAB_FOT_25_1051.png,LK_CIR_MER_RAB_FOT,25,1051,11,0,nan,
Image_11_LK_CIR_MER_RAB_FOT_25_926.png,LK_CIR_MER_RAB_FOT,25,926,11,0,1.198981562388477,
Image_11_LK_CIR_MER_RAB_FOT_25_941.png,LK_CIR_MER_RAB_FOT,25,941,11,0,0.9618872349079158,
Image_11_LK_CIR_MER_RAB_FOT_25_976.png,LK_CIR_MER_RAB_FOT,25,976,11,0,0.7092524203573123,
Image_11_LK_CIR_MER_RAB_FOT_25_996.png,LK_CIR_MER_RAB_FOT,25,996,11,0,0.641338022983197,
Image_53_LK_CIR_MER_RAB_FOT_26_671.png,LK_CIR_MER_RAB_FOT,26,671,53,0,nan,
Image_53_LK_CIR_MER_RAB_FOT_26_696.png,LK_CIR_MER_RAB_FOT,26,696,53,0,nan,
Image_53_LK_CIR_MER_RAB_FOT_26_711.png,LK_CIR_MER_RAB_FOT,26,711,53,0,nan,
Image_53_LK_CIR_MER_RAB_FOT_26_771.png,LK_CIR_MER_RAB_FOT,26,771,53,0,nan,
Image_53_LK_CIR_MER_RAB_FOT_26_776.png,LK_CIR_MER_RAB_FOT,26,776,53,0,nan,
Image_53_LK_CIR_MER_RAB_FOT_26_811.png,LK_CIR_MER_RAB_FOT,26,811,53,0,nan,
Image_0_LK_CIR_MER_RAB_FOT_27_91.png,LK_CIR_MER_RAB_FOT,27,91,0,0,2.3074616507133756,
Image_23_LK_CIR_MER_RAB_FOT_28_176.png,LK_CIR_MER_RAB_FOT,28,176,23,0,nan,
Image_23_LK_CIR_MER_RAB_FOT_28_211.png,LK_CIR_MER_RAB_FOT,28,211,23,0,nan,
Image_23_LK_CIR_MER_RAB_FOT_28_251.png,LK_CIR_MER_RAB_FOT,28,251,23,0,nan,
Image_23_LK_CIR_MER_RAB_FOT_28_271.png,LK_CIR_MER_RAB_FOT,28,271,23,0,nan,
Image_23_LK_CIR_MER_RAB_FOT_28_286.png,LK_CIR_MER_RAB_FOT,28,286,23,0,nan,
Image_23_LK_CIR_MER_RAB_FOT_28_316.png,LK_CIR_MER_RAB_FOT,28,316,23,0,nan,
Image_23_LK_CIR_MER_RAB_FOT_29_111.png,LK_CIR_MER_RAB_FOT,29,111,23,0,nan,
Image_23_LK_CIR_MER_RAB_FOT_29_176.png,LK_CIR_MER_RAB_FOT,29,176,23,0,nan,
Image_23_LK_CIR_MER_RAB_FOT_29_216.png,LK_CIR_MER_RAB_FOT,29,216,23,0,nan,
Image_23_LK_CIR_MER_RAB_FOT_29_226.png,LK_CIR_MER_RAB_FOT,29,226,23,0,nan,
Image_23_LK_CIR_MER_RAB_FOT_29_231.png,LK_CIR_MER_RAB_FOT,29,231,23,0,nan,
Image_23_LK_CIR_MER_RAB_FOT_29_236.png,LK_CIR_MER_RAB_FOT,29,236,23,0,nan,
Image_51_LK_CIR_MER_RAB_FOT_30_601.png,LK_CIR_MER_RAB_FOT,30,601,51,0,1.080580241944104,
Image_51_LK_CIR_MER_RAB_FOT_30_631.png,LK_CIR_MER_RAB_FOT,30,631,51,0,0.9544200297674356,
