FOT,logicalScenario,dataIndex,startFrameIndex,endFrameIndex,collisionModeGT,impactSample,roadGeometry
FOT_A,,13,801,1200,0,0,INT;URB
FOT_A,,2,1,400,0,0,URB
FOT_A,,22,2001,2401,0,0,URB
FOT_A,,23,1601,2000,0,0,URB
FOT_A,,27,1201,1600,0,0,URB
FOT_A,,28,801,1200,0,0,URB
FOT_A,,83,801,1200,0,0,RAB;URB
FOT_A,,87,1201,1600,0,0,RAB
FOT_A,,87,1601,2000,0,0,RAB
FOT_A,,89,1201,1600,0,0,RAB
FOT_A,,90,1,400,0,0,RAB
FOT_A,,90,401,800,0,0,RAB
FOT_A,,91,1201,1600,0,0,RAB
FOT_A,,92,1201,1600,0,0,RAB
FOT_A,,93,1,400,0,0,RAB
FOT_A,,95,801,1200,0,0,RAB;URB
FOT_B,,13,2001,2401,0,0,URB
FOT_B,,2,401,800,0,0,RAB
FOT_B,,20,1,400,0,0,URB
FOT_B,,20,1601,2000,0,0,URB
FOT_B,,207,1201,1600,0,0,OTHERS
FOT_B,,207,801,1200,0,0,OTHERS
FOT_B,,4,401,800,0,0,RAB
FOT_B,,46,2001,2402,0,0,OTHERS
FOT_B,,8,1201,1600,0,0,INT;URB
FOT_C,,12,401,800,0,0,HW
FOT_C,,2,1,400,0,0,INT;URB
FOT_C,,30,1201,1600,0,0,URB
FOT_C,,5,2001,2402,0,0,OTHERS
FOT_D,,1,2001,2401,0,0,URB
FOT_E,,51,401,800,0,0,OTHERS
