FOT,logicalScenario,dataIndex,startFrameIndex,endFrameIndex,collisionModeGT,impactSample,roadGeometry
FOT_A,,108,801,1184,0,0,OTHERS
FOT_A,,11,1601,2000,0,0,INT;URB
FOT_A,,121,1,400,0,0,HW
FOT_A,,124,801,1200,0,0,HW
FOT_A,,16,401,800,0,0,URB
FOT_A,,4,1601,2000,0,0,INT;URB
FOT_A,,40,2001,2402,0,0,INT;URB
FOT_A,,44,1201,1600,0,0,HW
FOT_A,,51,2001,2402,0,0,HW
FOT_A,,94,401,800,0,0,RAB;URB
FOT_B,,100,1601,2000,0,0,URB
FOT_B,,133,401,800,0,0,HW
FOT_B,,158,1201,1600,0,0,INT;URB
FOT_B,,158,1601,2000,0,0,URB
FOT_B,,224,2001,2402,0,0,HW
FOT_B,,41,801,1200,0,0,HW
FOT_B,,9,1,400,0,0,INT;URB
FOT_B,,9,401,800,0,0,INT;URB
FOT_B,,97,801,1200,0,0,URB
FOT_C,,10,401,800,0,0,URB
FOT_C,,111,401,800,0,0,URB
FOT_C,,131,1601,2000,0,0,URB
FOT_C,,37,801,1200,0,0,INT;URB
FOT_C,,88,801,1200,0,0,URB
FOT_C,,91,1201,1600,0,0,URB
